영화제목,아이디,평점,댓글
미드나이트,kieu****,1,한 마디로 설정의 공평성은 안드로메다다 범인을 똑똑하게 할 거였으면 엘리트 급의 능력을 보였어야만 했다. 평균적으로 사람들의 지능을 떨어뜨리고  스토리를 전개하는 느낌이다. 긴장감은 훌룡하지만 경찰은 호구고 시민의식은 없고 몸이 아프신 분들에 대한 예의없음을 풍자하는 건가? 라고 생각하고 싶었는데 결정작인 순간들에 고구마 영화의 극치를 보여준다. 뭐 영화를 비판적으로 보고 싶으신 분들께는 적극 추천한다. 배우들의 연기를 빼면 0점을 주고 싶은 영화다 아쉽다.
방법: 재차의,momn****,9,드라마보고나서 너무 기대했나봐요ㅠㅠ 차라리 드라마시즌2했음 더좋았을걸... 하는생각이 영화보는내내 생각이 들었네요 ㅋㅋ그렇다고 영화가 나쁘다는건 아니에요 ㅋㅋ재밌게 잘봤어요ㅋㅋ
루카,chec****,10,찐이네요 역시 영화는 이태리여
랑종,shin****,1,인생 최악의 영화. 중간중간 스토리와 관계성이 없는듯한 거북한 장면들이 등장해서 역겹기도함. B급영화라고 하기에도아까운 D.E급영화. 여배우의 연기만 일품
블랙 위도우,minh****,10,
언컷 젬스,jwjw****,10,지렸다 ㄷ ㄷ ㄷ ㄷ ㄸ ㄷ ㄷ ㄷ ㄷ ㄸ ㄷ
언컷 젬스,jwjw****,10,지렸다 ㄷ ㄷ ㄷ ㄷ ㄸ ㄷ ㄷ ㄷ ㄷ ㄸ ㄷ
발신제한,ice0****,2,ㅋㅋㅋ 스토리 참 산으로 가네
크루엘라,ppow****,1,"여기다가 조커를 비교하다니...카리스마 부족 개연성 부족마지막엔 재밌겠지 하고 봤는데., .아까워 내돈!!!"
모가디슈,jjol****,8,김윤석 허준호 배우의 연기력이 다 했네요
모가디슈,luvj****,10,오랜만에 신선하고 재미있는 영화를 봤습니다. 감동적이기도 하였음
방법: 재차의,luck****,9,재밌어요 좋아요
수어사이드 스쿼드,dhdm****,1,ㅈ같은 국장좀 죽여줘요
모가디슈,yeji****,4,배우들 연기와 중간중간 유머가 재밌었다만…저에겐 영화 모가디슈는 친북 성향의 영화 백두산과 매우 비슷하게 느껴지네요~
유열의 음악앨범,rena****,10,존잼인데 왜 다들 꼽게봄? 개존잼 앙 꿀잼 인생영화
모가디슈,sooh****,10,너무재밋엇어요조인성님 최고에요
새콤달콤,qudw****,10,엔딩이 아쉽 더 세게 표현 했어야 했는데... 하지만 신선한 반전!
랑종,jisu****,10,배우들의 연기력과 연출이 너무 좋았구요 실화인것 같아서 더 무서웠어요..며칠동안 계속 생각났습니다 영화가 끝난 후에도 전혀 예상치못한 결말에 꿉꿉한느낌까지재밌었어요
블랙 위도우,s2s2****,4,조금 지루했어요 액션신이 약하고 스토리 위주인듯요
새콤달콤,kims****,8,서로 민감해진 시기와 힘든 시기인 커플들이 볼 영화여서 좋은 듯
애프터: 그 후,jinh****,10,하딘이 테사 없으면 안될거같아하는 모습이 너무 짠했다 진짜 ㅠㅠ
모가디슈,mhee****,10,진짜 존잼. 꼭 보세요 !!
모가디슈,ioil****,1,그냥 삼류영화 빠른전개 억지감동 뻔한 내용재미도 없고 무슨 총알 세례를 그렇게 받는데 딱 한명 죽는다고??? 적어도 한팀을 죽여야지 고작한명??장갑차도 그정도 총맞고 한팀 나가리 나겠다이 주연들 가지고 영화 이렇게 밖에 못만드냐????진짜 억지감동 쩔고 그냥 베이비보스나 봐라알바들 장난아니네.
모가디슈,inha****,7,볼만은한데솔직히9점자리는아님아주막재밌진않음그냥저냥유추되는스토리
모가디슈,paja****,10,"남북연락선 복원소식 후 바로 영화를 보니,감회가 남다르네요 ~^역시 믿고보는 류감독님 ??"
반 헬싱,rahe****,10,다시 봐도 재미있네요.
새콤달콤,kim_****,9,리뷰를 보고 봤는데도 꽤나 몰입이 된 영화 장기용 연기력의 재발견
이스케이프 룸 2: 노 웨이 아웃,yeeu****,10,나한텐 역대급 긴장감을 느끼게 해준 영화였음처음부터 끝까지 주먹 쥐고 보느라 손에 땀 참시즌 끝나지 않으면 좋겠어요 너무 재밌어요
모가디슈,wer9****,10,북한과 남한이 곤경에 처했을 때 외친 말이 있다 코리아라는 말이다 남한 북한이 아닌 코리아라고 외쳤을 때 이렇게 갈라져있지만 하나라는 것을 보여주는 장면 같았다많은 생각과 감동을 주는 영화였다
해피 엔드,bobi****,10,마치 한국의 베티블루같았다
모가디슈,clic****,10,조인성 연기가 돋보이는 영화한순간도 지루한점이 없었어요 넷플릭스로 나오면 더 보고싶네요 꼭 사운드빵빵한 영화관에서 봐야하는 영화입니다
정글 크루즈,xiyi****,2,"제목만보고 정글, 시원한 모험.. 이런걸 기대하고 갔는데 신나는 액션도, 스토리도 없고 억지스럽고 지루해서 두시간이 길게 느껴졌네요..ㅠㅠ 평점 궁금해서 와봤는데 진짜 평점알바들이 있나봐요.."
방법: 재차의,yjs9****,10,재미는 있었음 스릴넘치고.. 근데 왜 임기자를 선택했는지 설명하지 못한 것 같고 초반에는 긴장감 넘치게 스릴있게봤는데 후반으로갈수록 러닝타임 때문인지 스토리 전개가 휙휙 지나가서좀 아쉽
모가디슈,huen****,10,내가 본 전쟁영화중에 제일 몰입감있다총소리 내 유리심장 다 으깼다영화연출 있긴한데 거슬릴정도는 ㄴ 볼만한 영화.
모가디슈,smjj****,10,
모가디슈,moon****,10,진짜 남자친구랑 간만에 몰입하며 제대로 봤다.지루할틈 없이 빽빽제대로 긴장
방법: 재차의,yeeu****,8,꿀잼 중반부 부터 주먹 쥐고 봄
발신제한,grow****,1,볼만한건 조우진 연기 끝극본은 가히 한국영화의 쓰레기라 칭할만함.대체 2021년도에 이런 개연성도 현실성도 없는 스토리를 보는게 말이되냐?제발 영화 대충 쳐 만들면서 극장 오라는 소리 좀 하지마이러니 다들 한국영화를 외면하고 외국영화만 찾지영화에서 기본이고 제일 중요한 극본부터 좀 채워라 제발
모가디슈,xjvm****,2,그냥 삼류영화 빠른전개 억지감동 뻔한 내용재미도 없고 근데 이런 내용이 대중들한테는 접근하기 편하긴함
모가디슈,chan****,4,옛날사건으로 영화를 만들때 많이 알려진사건을 소재로 만들되 관객이 몰랐던 내용이 영화를 통해서 알게되는 이런케이스는 지루하지 않을것 같은데 이 영화는 잘 알려진사건도 아니고 그렇다고 이사건으로 엄청난 파장이 있었던것도 아니고 그냥 이런일이 있었구나.. 그리고 남북대사가 각각 잘 귀환했구나(스포주의/자가검열) 런닝타임은 긴데 그 시간을 지루하지않게 끌고 갈만한 영화는 아닌것같아요류승완감독 영화라 기대하고 개봉일 맞춰 본건데 보고나서 내용보다 제작비 대비 관객수가 먼저 걱정되는거 뭐지?
모가디슈,ydh9****,10,"영화보고 관람평 잘 안남기는데, 굳이 검색해서 남길정도로 너무 잘 봤습니다..!!!"
방법: 재차의,juej****,7,코로나 시국인데도 오늘 마지막 수요일 문화의 날 적용이 되어5천원 내고 관람했네요~ 드라마는 안봐서 잘 모르겠는데 솔직히 내돈 다 내고 볼 영화는 아닌 것 같구요 특히나 오윤아씨는 이제 관록도 있는데 연기 수준은 어떻게 제자리 인지..그냥 드라마에서나 봤음 좋겠네요~ 극중 몰입 깨는 주 인물입니다~..좀비물을 원체 좋아해서 그 자체로 7점 줍니다~ 저랑 성향이 비슷한 분들이 보셔도 무방합니다~
피닉스,iwmy****,8,짱 재밌음. 추천합니다
아쿠아맨,skyh****,7,모든게 적당해서 보기 괜찮았다.영화 한편에 모든 걸 잘 넣었다. 캐릭터 영상미 스토리 연출 등등. 월등하진 않지만 지루하지 않게 흔한 영웅스토리를 납득할 수 있게 잘 그려냈다. 제임스 완 감독 대작이든 독립영화형 공포물이든 스펙트럼이 정말 다양한것 같다. 대단하다.
블랙 호크 다운,krro****,10,실감나는전쟁영화 굿굿
분노의 질주: 언리미티드,dlgh****,8,스토리 좋았고 재밌게 보았다
모가디슈,maen****,10,코미디인줄 알았다가 이건 뭐지?크게 한 방 맞은 느낌
말아톤,haye****,10,"어릴 때 본 영화라 조승우가 누군지 모르던 시절 봤어도 연기가 대단하다는 것을 느낄 정도로 조승우배우님 연기는 대박이었다 이제서야 초원이 역이 조승우배우님이라는 것을 알게되서,,다시 보러 갑니다 초원이 다리는 백만불짜리 다리 이 대사는 다시 들어도 눈물나고 이 대사만큼은 잊혀지지않는다"
모가디슈,eilo****,10,아르고와 블랙호크다운이 이 영화와 경쟁했다면 오스카는 모가디슈의 독식으로 싱겁게 막 내렸을 것이다. 남산의 부장들과 공작처럼 관객들을 일깨워주는 가르침도 많은 영화로 특히 우리가 가진 풍족한 백신 조금 덜 쓰고 대신 어려운 동포들 손내밀어 돕자는 마음이 무럭무럭!
모가디슈,eilo****,10,아르고와 블랙호크다운이 이 영화와 경쟁했다면 오스카는 모가디슈의 독식으로 싱겁게 막 내렸을 것이다. 남산의 부장들과 공작처럼 관객들을 일깨워주는 가르침도 많은 영화로 특히 우리가 가진 풍족한 백신 조금 덜 쓰고 대신 어려운 동포들 손내밀어 돕자는 마음이 무럭무럭!
블랙 위도우,89cr****,9,이대로 보내기에는 너무 아쉬운 블랙 위도우 ㅠ_ㅠ 스칼렛 요한슨의 매력이 집약된 영화이자 플로렌스 퓨의 독특하고 신선한 캐릭터와 기품있지만 묘한 매력을 보여주는 레이첼 와이즈를 발견할 수 있는 영화
발신제한,knga****,8,연기력 최고!시간가는줄 모르고 봤어요.재밌었어요
모가디슈,park****,8,"긴장감있고 스토리 라인도 지루하지 않게 전개되지만, 좀 뻔한 내용이라 전 8점 줍니다."
원더,2003****,10,방금 넷플릭스로 보고왔는데 생각이 많아지는 영화네요 너무 좋았어요.
발신제한,ultr****,2,진부하다 진부해 ㅋㅋ 연기며 대사하나하나 ㅋㅋㅋㅋ 딱 유튜브에서 개그맨들이 '납치영화 무조건 나오는 장면' 에서 따라할거 같은 거 다 집어넣어놨네
리틀 포레스트,fean****,10,힘든시기 따뜻함을 주는 영화입니다
무서운 집,ksed****,10,이거 보려고 왓챠 결제했습니다.
랑종,forr****,10,"공포감 보다는 불쾌함을 선사해주는 영화라 생각되지만, 페이크 다큐 형식의 접근도 중간 이후 극한으로 빠르게 치닫는 상황도 모두 흥미로웠다."
모가디슈,nude****,10,2년만에ㆍㆍ극장갔어요ㆍㆍ 모가디슈를 봤어요~~최고 최고ㆍㆍㆍㆍ뭐~~~하나 흠잡을수 없는 그런ㆍㆍ최고의 영화 확실합니다~~
먼 훗날 우리,gusw****,10,미안해 켈리
야쿠자와 가족,luna****,10,간만에 몰입해서 봤습니다좋은 영화입니다
모가디슈,seun****,10,역시 믿고보는 배우 조인성
베테랑,japa****,10,다시봐도 재밌네요.잘만든영화~ 시나리오 연출 연기자삼박자가 짱! 액션도 베리굿
말리와 나,boni****,10,너무 따뜻한 영화젊은 애니스톤 보는 것도 좋고아이들이랑 말리랑 도 너무 예쁘고
랑종,spir****,10,7점 후반대 영화나홍진 뒤틀려진 판타지 실현
스턱 인 러브,ssw0****,10,진짜 최고의 영화.안보면 후회하니 꼭 보길
모가디슈,odys****,10,이념적인 영화인줄 알고 패스하려했는데 시대상황을 제대로 반영한 영화괜찮은 영화 하나 나와서 기쁨
님은 먼곳에,blac****,10,솔직히 위문공연을 주제로 이렇게까지 잘 표현한 영화가 어디있나 싶다.
모가디슈,mohw****,10,기대이상이었슴다지루할틈이없어요
모가디슈,abri****,8,이태리 대사관으로 이동하는 자동차 질주 씬이 아주 훌륭합니다. 점수 8.64 주고 싶습니다.
모가디슈,jaey****,10,와 기대 안하고 봤는데내용 상황전개 연출 등모든게 완벽해여남북간의 고충을 그려주는 영화넘 슬프기도 하고 웃기기도 한 강추입니다
모가디슈,inso****,10,우왓! 시간 가는줄 모르고 봤어요!!^^
쿵푸팬더3,lemi****,6,3편 되더니 그냥 어린이 전용 애니메이션
극장판 귀멸의 칼날: 무한열차편,me94****,9,재밌음. 책으로는 못 느끼는 연출.
발신제한,love****,10,심장이 쫀득쫀득 오랜만에 재밌는 영화
백엔의 사랑,kmj9****,10,그냥 좋다
모가디슈,dail****,10,스토리 전개가 빠르고 런닝타임 30분이후부터는 긴장의 끈을 놓지않게 만드는 몰입감이 생김.굿!!!
모가디슈,ssul****,10,거의 2년 반 만에 혼영했는데 내내 즐겁게 잘 봤습니다. 시간 순삭! 마음 한편이 아리지만 적절한 유머로 주제를 무겁게 전달하지 않아 좋은 것 같아요. 게다가 배우들 연기 ㅋㅑ
방법: 재차의,bdec****,10,소진이가 이뻐서 만점! 애기가 참 잘컸네
모가디슈,kimg****,10,"처음에는 별 기대 전혀 안 하고 봤는데생각 보다 너무 재밌고 신선해서 좋았습니다 !! Ost 타이밍 , 연기 너무 좋았어요 ~~다음에  여러번 더 볼것 같아요 !!그만큼 넘 재밌고 만족했다는 거에요 !믿고 보시는 걸 너무 추천 드리고 싶어요 ~~"
열정같은소리하고있네,chae****,10,재밌으니까 또봐야지 ㅎ
모가디슈,llsy****,10,cgv서전주 밤 10시프로와...진짜 작품 미적으로나 내적으로나 진짜 너무 재밌게봤고 구교환 매력 미치고 군함도에서 욕먹더니 진짜 엔딩까지 뜨거우면서 깔끔하다
방법: 재차의,mj60****,10,드라마도 정주행 했는데 영화도 너무 재미있게 봤습니다.
라이더스 오브 저스티스,jkd9****,8,단순히 액션영화로 생각하면 안됨 이런 독특한 개성있는영화 아주좋아 혼자 조용히보기 딱좋네요
랑종,som1****,6,기대를 너무 했던것 같다. 중반까지 잘 보다가 끝으로 갈수록 실망감 가득..
은혼 더 파이널,zksp****,9,이 만화가 끝난다는 게 이렇게 슬픈 일 인지 몰랐다...원작이 끝날 때는 극장판이 있으니까 아직 완결은 아니지 하고 있었는데 극장판을 보고 나오니 아 이제 진짜 끝이구나 싶더라 내 인생의 절반 보다 긴 시간을 함께 한 은혼의 마지막이라 그런지 슬픈 장면보다 웃긴 장면에서 더 눈물이 흘렀다. 하지만 무엇보다 나를 슬프게 한 건 오랜 시간 연재 한 은혼이 저런 망할 작화로 끝난 다는 것이다. 원작이 완결난 만화라고 대충 한건가 싶어 화가나고 짜증이 났다. 달리는 장면은 복사 붙여넣기인가 싶고 광대 뼈와 코에 하이러이터를 어찌나 과하게 넣은 건지 서양인 인줄 알았다 무엇보다 클로즈업이 아닌 장면의 대부분에서 얼굴이 비대칭이었다
